logical_name,filename,rows,columns,schema_sha256,file_size_bytes,mtime_ns,file_sha256
tasks,dataset_A.csv,100000,29,7d650f8198ed524265db70eb30c9f864b5ff3cd1666617bccf37d9750e83609d,10373480,1779092079140766800,1839a943d572c1e37bf5ae47f167fe232014a7ac3239f61ffe0de394fb3b001e
edge_nodes,edge_nodes.csv,50,8,fe1db1249887a6b79b684e25fe80444c8ecc4223974f5ddc0189885dd49bfebc,2513,1779092079141775600,1c3cd0165487d996990196dd4c2a7f296559d468f9f53852347b48b4cfba1fef
edge_state,edge_state.csv,50000,10,3b197312150ac8f337b1f53a7ba666a17284848eb7ad1a52f9f5807078e95ef8,2137564,1779092079500116800,0b3269b9f058fe82f4c233177ab7356da42a2872bd765484b493ce11a036a3a1
cloud_nodes,cloud_nodes.csv,10,6,94e2e5e77f0a5eddc9e8297463bb030047cd99178c21d16670ff741cdd1d2b91,481,1779092079505800400,b20964c6a73e9cea1b44dadadfdabc55ea4622cc963bd2a56cb9c6dba8333474
cloud_state,cloud_state.csv,10000,9,f6a3a03328b1df80a095057e51c11412c5016fb2633cc2880e58ee1641078773,388615,1779092079537806800,05148a93db99823336148511a0f2d6b3465be7ea20db220be3a840d7c28c762c
network_state,network_state.csv,1000,11,ddc69e91e009a3d1744b603c2a617f886e8c88a1c1acda34a4cc5202d4469ec9,59732,1779092079504799900,834a055b0a5f71d027dca12211884a8a496c87e9f641b695e46525ea7254e474
