Ablation,Runs,Avg Latency,SLA %,Rejection %,Edge Usage %,Best Val Score,Rounds Ran
Fed-DDQN Proposed v6.6,3,136.855 ± 0.599,97.71 ± 0.05,3.70 ± 0.06,67.56 ± 0.37,131.315 ± 0.281,13.7 ± 0.9
+ Prioritized Replay,3,137.221 ± 1.089,97.64 ± 0.06,3.77 ± 0.06,66.04 ± 0.33,131.859 ± 0.502,11.0 ± 1.4
+ Action-Aware Pressure,3,136.393 ± 0.896,97.68 ± 0.07,3.73 ± 0.07,67.50 ± 1.53,134.298 ± 0.654,8.0 ± 0.0
No FedProx,3,136.495 ± 0.272,97.65 ± 0.10,3.77 ± 0.10,67.07 ± 1.11,131.199 ± 0.280,11.3 ± 1.9
Hard Target Update,3,137.266 ± 0.501,97.71 ± 0.05,3.70 ± 0.04,67.98 ± 1.08,131.426 ± 0.337,12.7 ± 2.6
No Heavy-Task Penalty,3,136.845 ± 0.498,97.68 ± 0.06,3.73 ± 0.05,66.99 ± 2.34,131.407 ± 0.476,11.0 ± 2.9
